"","plotID","decimalLatitude","decimalLongitude","elevation.y","nlcdClass.y"
"13935","UKFS_036",39.041755,-95.205375,294.9,"deciduousForest"
"13962","UKFS_037",39.043901,-95.192978,324.8,"deciduousForest"
"13989","UKFS_038",39.039726,-95.201838,281,"deciduousForest"
"14017","UKFS_039",39.04406,-95.198865,321.7,"deciduousForest"
"14044","UKFS_040",39.043998,-95.188805,323.7,"deciduousForest"
"14072","UKFS_041",39.053555,-95.19707,327.8,"grasslandHerbaceous"
"14099","UKFS_042",39.04424,-95.203365,322.5,"deciduousForest"
"14126","UNDE_066",46.249945,-89.540863,514.3,"mixedForest"
"14207","UNDE_067",46.228742,-89.49814,512.5,"woodyWetlands"
"14288","UNDE_068",46.209603,-89.492758,509.2,"woodyWetlands"
"14371","UNDE_069",46.252051,-89.495032,524.4,"deciduousForest"
"14407","UNDE_070",46.243091,-89.509409,514,"woodyWetlands"
"14488","UNDE_071",46.246368,-89.547703,510.1,"woodyWetlands"
"14569","UNDE_072",46.235464,-89.564303,512.9,"woodyWetlands"
"14650","UNDE_073",46.245034,-89.519234,516.8,"deciduousForest"
"14731","UNDE_074",46.216675,-89.50741,515.3,"deciduousForest"
"14814","UNDE_075",46.259156,-89.527305,507.6,"woodyWetlands"
"14895","UNDE_076",46.219949,-89.517762,524.8,"deciduousForest"
"14942","WOOD_032",47.148038,-99.229385,587.5,"grasslandHerbaceous"
"15015","WOOD_033",47.139342,-99.246496,584.4,"grasslandHerbaceous"
"15087","WOOD_034",47.128268,-99.249077,593.7,"grasslandHerbaceous"
"15159","WOOD_035",47.124787,-99.24076,587.2,"grasslandHerbaceous"
"15246","WOOD_036",47.132891,-99.239991,578.7,"grasslandHerbaceous"
"15318","WOOD_037",47.139384,-99.23845,578.7,"grasslandHerbaceous"
"15390","WOOD_038",47.142378,-99.218262,578.5,"grasslandHerbaceous"
"15461","WOOD_039",47.133689,-99.249104,592,"grasslandHerbaceous"
"15533","WOOD_040",47.139012,-99.259106,602,"grasslandHerbaceous"
"15618","WOOD_041",47.139945,-99.231321,581.1,"grasslandHerbaceous"
